,producto,descripcion,precio,fecha
0,huevo,"['huev', 'blanc', 'air', 'camp', 'organ', '12', 'pzas']",68.0,2020-10-24
1,huevo,"['huev', 'blanc', 'san', 'juan', '12', 'pzas']",26.0,2020-10-24
2,huevo,"['huev', 'blanc', 'eel', 'organ', '12', 'pzas']",66.5,2020-10-24
3,huevo,"['huev', 'roj', 'bachoc', 'fresc', '12', 'pzas']",27.55,2020-10-24
4,huevo,"['huev', 'blanc', 'bachoc', 'fresc', '18', 'pzas']",36.0,2020-10-24
5,huevo,"['huev', 'blanc', 'nutri', 'camp', 'fresc', 'libr', 'pastore', '12', 'pzas']",52.0,2020-10-24
6,huevo,"['huev', 'blanc', 'el', 'calvari', 'fresc', '30', 'pzas']",57.0,2020-10-24
7,huevo,"['huev', 'blanc', 'aurrer', '30', 'pzas']",52.5,2020-10-24
8,huevo,"['huev', 'roj', 'air', 'camp', 'organ', '12', 'pzas']",68.0,2020-10-24
9,huevo,"['huev', 'blanc', 'el', 'calvari', '18', 'pzas']",35.2,2020-10-24
10,huevo,"['huev', 'blanc', 'bachoc', 'fresc', '12', 'pzas']",21.35,2020-10-24
11,huevo,"['huev', 'blanc', 'el', 'calvari', '12', 'pzas']",23.55,2020-10-24
12,huevo,"['huev', 'blanc', 'aurrer', '18', 'pzas']",32.5,2020-10-24
13,huevo,"['huev', 'blanc', 'aurrer', '12', 'pzas']",20.0,2020-10-24
14,huevo,"['huev', 'blanc', 'sabr', 'grand', '30', 'pzas']",64.0,2020-10-24
15,huevo,"['huev', 'blanc', 'organ', 'camp', 'viv', '6', 'piez']",33.2,2020-10-24
16,huevo,"['huev', 'blanc', 'guadalup', '1', 'paquet', '30', 'pzas']",61.0,2020-10-24
17,huevo,"['clar', 'huev', 'san', 'juan', 'liqu', '500', 'g']",24.0,2020-10-24
18,huevo,"['huev', 'blanc', 'san', 'juan', '30', 'pzas']",58.5,2020-10-24
